微博id,微博正文,发布时间,点赞数,转发数,评论数
NjrLs6kYp,[置顶]#苹果官网崩了# iPhone15系列高品质优限防摔壳，壳子一戴，安全有保障，壳子细节做工什么的都很不错哦，非常经典的一款壳子，手机可以慢慢抢，壳子先备好  ,2023-09-15 21:38,81,5,80
NhhEZ1UjO,那我就先用机甲壳保护一下手机先出场壳的手感很不错就是两侧没有保护到，这个全包，正面还高出一点点屏幕保护着四曲面玻璃。需要注意的是这壳子会厚重一些，手感不算特别好。后续还会有透明款，到货时间未知磁吸款的首批我们会做带尾巴的，预计要一个星期，我会会做到更强的磁力，...全文 [组图共4张] 原图 ,2023-09-01 16:14,113,2,79
NoVBclQT0,1.2mm渐隐会是怎样一种感觉呢下星期就让你们感受一下  [组图共7张] 原图 ,2023-10-21 22:47,11,0,6
NoVyIE8Dz,明天Mate60Pro+雪白可以上  原图 ,2023-10-21 22:41,20,0,7
NoVduz5Vz,Mate60Pro 0.9mm渐隐白色的磁吸在打样了。13.5g重的磁吸壳，好轻薄  原图 ,2023-10-21 21:48,16,0,7
NoUPcbgGu,nice  [组图共2张] 原图 ,2023-10-21 20:48,9,0,8
NoUc23qis,iPhone15系列优限壳：一如既往，优秀  [组图共4张] 原图 ,2023-10-21 19:12,20,1,8
NoU3rmtzF,#mate60pro# 熊猫宝宝们聚会咯  [组图共6张] 原图 ,2023-10-21 18:51,25,1,15
NoTJE9E0a,#华为mate60pro+# 提神小刻度，Nice  [组图共4张] 原图 ,2023-10-21 18:02,13,0,13
NoTHLaYaS,渐隐纹理，看起来质感很足哦这个是Mate60Pro/Pro+的通用版，渐隐陨石灰 老爆科技的微博视频  ,2023-10-21 17:57,6,1,7
NoTlScxVD,iPhone14ProMax 1.2mm渐隐壳搭配白色和紫色机的效果。所以喜欢换壳子等朋友，手机记得买浅色，例如白色、原色这些  [组图共2张] 原图 ,2023-10-21 17:03,13,1,6
NoTdVe9o8,没换手机就是等着它做出来我能用上iPhone14ProMax 1.2mm渐隐，下星期上架。有朋友就非常疑惑，这个时候怎么还在做14PM的壳子，我也很无奈，五个月前下的模具，现在才搞定。很抱歉让大家久等了，时间虽然是久了点，我觉得是值得的，只为了更好的相遇  [组图共4张] 原图 ,2023-10-21 16:44,14,0,11
NoT7A1MYq,大漠渐隐晶透，晶莹剔透的，好看哦不发黄 老爆科技的微博视频  ,2023-10-21 16:28,6,1,7
NoSATxAji,哇哦iPhone14ProMax 1.2mm渐隐 半透  [组图共2张] 原图 ,2023-10-21 15:08,24,0,26
NoSzCl4dz,#mate60pro# 脏脏防摔壳，脏的有特点，脏的有个性  [组图共3张] 原图 ,2023-10-21 15:05,6,0,4
NoSx5orUI,"15ProMax的也只有7.6克左右，薄至0.6mm,主打就是一个轻薄，接近裸机手感。这渐隐壳握在手里，极度舒适  [组图共6张] 原图 ",2023-10-21 14:58,18,0,12
NoSq1eXP8,看着小宝贝们顺利量产心情就舒畅iPhone14ProMax 1.2mm渐隐量产中Mate60Pro+ 渐隐黑色也在做货了 老爆科技的微博视频  ,2023-10-21 14:41,10,1,2
NoSmIvALO,优限脏脏壳，脏脏壳的再一次升级  [组图共6张] 原图 ,2023-10-21 14:33,7,1,7
NoRNNsvV6,Mate60Pro+ 的陨石灰也到货咯。这个颜色搭配雅川青也很出色  原图 ,2023-10-21 13:07,13,0,9
NoRGL16wh,感受一下只有6g多的壳，iPhone15Pro和iPhone15ProMax全都上了  原图 ,2023-10-21 12:49,20,2,15
NoRBo7DqK,Mate60Pro 脏脏壳  原图 ,2023-10-21 12:36,9,0,8
NoNxp3paH,全方位感受一下这款1.2mm的渐隐壳当初想做这样一款壳子形状初衷就是我既要又要还要。既要轻薄，又要无凸起的磁吸，还要有保护性。所以就有了一个念头做1.2mm的PP壳。1.2mm厚度重量仅为16g，可以塞下去0.6mm的磁铁做到磁力很强，而且还没有凸起，磁吸款重量预计在18/19g这样。自带按键，反馈...全文 ,2023-10-21 02:15,29,2,25
NoN10gUa7,你们满意Mate60Pro的拍照么？  原图 ,2023-10-21 00:56,43,1,47
NoMZXaUwb,今天工作很顺利，一个人随便吃点，随手拿出两个手机作陪  [组图共2张] 原图 ,2023-10-21 00:53,19,2,9
NoMLoxGYE,iPhone15Pro真的好小巧但是我们的用户里面依然是用Max的比较多，每年都是如此  [组图共4张] 原图 ,2023-10-21 00:17,24,0,15
NoMvqCErI,下班iPhone14ProMax 1.2mm渐隐明天可以正式生产了，预计5天左右上架。四个颜色：黑，白，半透，陨石灰。黑色和白色会做磁吸。壳子16g重，有保护依然算轻薄。 老爆科技的微博视频  ,2023-10-20 23:38,20,3,10
NoMoErm82,iPhone15都上市了我们还在做iPhone14ProMax的壳子前阵子上了轻楞磁吸，过几天再上一个1.2mm渐隐，14系列的壳子就画上句号了  [组图共2张] 原图 ,2023-10-20 23:21,20,0,22
NoMmkb1ZI,这壳子的肤感涂层摸起来是真的挺舒服忍不住盘了又盘 老爆科技的微博视频  ,2023-10-20 23:15,15,6,7
NoLPd6m1T,Mate60Pro+的渐隐陨石灰生产中，等下做完了就做白色 老爆科技的微博视频  ,2023-10-20 21:54,30,10,15
NoLK5D3qe,快好了  原图 ,2023-10-20 21:41,19,0,12
NoKU4oKpp,搞到现在才上机，iPhone14ProMax 1.2mm渐隐壳。我悄悄问一句，有人在等这个壳么  原图 ,2023-10-20 19:33,24,0,39
NoK6UqUxi,Mate60Pro+的陨石灰，六点上货接下来还有白色，黑色。黑色磁吸也会尽快。 老爆科技的微博视频  ,2023-10-20 17:32,14,3,17
NoJLO1SI3,小米14看上去还是2.5D屏幕。小米14Pro看上去像是四曲面等宽的微曲屏幕，就像是Mate60Pro的屏幕那样四曲面等宽的屏幕真的太美了，快快发扬光大 备注：配图是Mate60Pro  原图 ,2023-10-20 16:40,189,4,74
NoJKccxDg,#华为六周内售出160万部Mate60Pro# 这销量很大呀，怎么还很多人没买到这需求就像个无底洞一样深不可测  [组图共2张] 原图 ,2023-10-20 16:36,34,0,31
NoJvzwGe5,iPhone14ProMax 1.2mm渐隐正在装模，装好就可以上机量产了，紧脏  原图 ,2023-10-20 16:00,16,0,8
NoJsrsPUQ,陨石灰这个颜色好好看搭配原色这种感觉我爱了  [组图共2张] 原图 ,2023-10-20 15:52,27,1,31
NoJpi8FnW,iPhone15ProMax原色搭配脏脏黑白效果  原图 ,2023-10-20 15:44,34,2,15
NoJiyeEVU,#iPhone15pro# 原色是真好搭壳啊，好看 老爆科技的微博视频  ,2023-10-20 15:28,21,3,24
NoILRtWEM,看看图二那个黑得深邃的感觉，还有壳子跟膜的匹配度  [组图共2张] 原图 ,2023-10-20 14:07,17,1,10
NoIx0vrAT,iPhone15Pro 超薄渐隐已上逆天了，才6.5g没啥保护，主打一个接近裸机都手感  [组图共5张] 原图 ,2023-10-20 13:31,30,1,37
NoIljl3Y4,极致轻薄的iPhone15Pro 渐隐壳，来货了  [组图共4张] 原图 ,2023-10-20 13:02,28,1,43
NoIhJq9L8,最近上的两个脏壳  ,2023-10-20 12:53,16,0,6
NoHZMj5h4,上架了朋友们，iPhone15系列，个性时尚的优限脏脏壳来了15PM/15Pro/15Plus/15都有 老爆科技的微博视频  ,2023-10-20 12:09,24,6,9
NoHU6Bv3X,优限脏脏白，搭配iPhone15Pro原色，好看的背板与边框保持齐平，过渡平顺，手感nice 老爆科技的微博视频  ,2023-10-20 11:55,9,4,8
NoHOrDfmw,朋友们，iPhone15系列优限脏脏壳，中午12点准时上架，马上来  [组图共6张] 原图 ,2023-10-20 11:41,11,0,18
NoE965LX2,iPhone14ProMax 1.2mm渐隐壳，我翻了下记录，严谨一点来说没有搞半年，只有五个多月这就是尝试新东西的风险，工厂没有做过这个厚度的，我也没做过，但就是想做，想做一些值得被记念都产品。  [组图共2张] 原图 ,2023-10-20 02:21,45,1,23
NoDMaBFk1,分享图片  原图 ,2023-10-20 01:24,30,0,6
NoDeRxOIF,充电站旁边找的一家小店，上次吃了一次不错，今天又来吃了，车子正在充电，吃完电也就满了  原图 ,2023-10-20 00:02,30,1,5
NoD47r5uk,爆款  原图 ,2023-10-19 23:36,21,1,6
NoD1cCKJl,明天，盘它 老爆科技的微博视频  ,2023-10-19 23:29,22,4,14
NoCKsDmL2,刚收到Mate60Pro的脏脏壳就要回购了nice  [组图共4张] 原图 ,2023-10-19 22:47,8,0,8
NoCAprTNH,明天就安排量产，这个壳子没做出来我就不换手机我必须在iPhone14ProMax上用上它  [组图共2张] 原图 ,2023-10-19 22:23,27,1,31
NoCnhEGo9,这是一款我们花了好久好久才搞出来的壳子，曾经介绍过，我以为很快就能搞定，没想到一鸽就是几个月以至于iPhone15系列都快用腻了，而它还没量产，不过也快量产了，看到希望了那就再介绍一次这款壳子，它依旧是独特的，也是我们一次新的探索。PP材质，边框1.1，背板1.2mm，iPhone14ProM...全文 ,2023-10-19 21:50,22,0,39
NoCcZnW8X,iPhone15Pro的渐隐搞好了，明天下午三点上货  [组图共3张] 原图 ,2023-10-19 21:25,16,0,21
NoC71nfWA,用几天这壳子，摸起来是真的很润  原图 ,2023-10-19 21:10,18,0,18
NoC1xgCkQ,iPhone14ProMax 1.2mm渐隐，做了半年，快成了历史遗留问题了，目前可以确定的是这个壳子会做出来，已经看到了往好的方面发展了  原图 ,2023-10-19 20:57,27,0,36
